Id_Client;Client;Adresse_rue;Code_Postal;Ville;numero_telephone;Titre;Prenom;Nom;
1;Avon SA;"5, place de la Mairie";66700;ARGELES SUR MER;04.65.22.33.11;Mlle;Elisabeth;ABOVILLE;
2;WakeFern ;"3, place de la  R‚publique";44000;NANTES;02.40.68.37.21;Mme;Anne;AIME;
3;"Elorac, SA";"12, place des Fromagers";79000;NIORT;05.49.00.22.33;Mlle;Olive;ARON;
4;ETUDE SARL;"31, rue des Colombes";35100;RENNES;02.99.65.24.81;M.;Philippe;BONNEAU;
5;Procter SA;"21, avenue des Peupliers";44000;NANTES;02.40.66.33.00;M.;Edmond;BOSSEAU;
6;"PEDIFIX, SA";"5, impasse des Vignerons";49000;ANGERS;02.41.02.31.45;Mlle;Delphine;COGNETS;
7;New SARL;"39, rue des Boulangers";33120;ARCACHON;05.56.36.84.90;M.;St‚phane;COMBRET;
8;Medsep Groupe;"1, rue Claude Fran‡ois";66000;PERPIGNAN;04.68.77.33.22;M.;Daniel;DABILOT;
9;Ei ;"12, rue de la Grande Arm‚e";72000;LE MANS;02.43.22.77.99;M.;Richard;DASCI;
10;21st SARL;"96, rue des Oliviers";17300;ROCHEFORT;05.46.56.84.31;M.;BenoŒt;DECEMME;
11;Apollo SARL;"45, rue du Casino";79000;NIORT;05.49.00.78.90;Mme;Odette;DEJOUX;
12;Medline ;"5, rue des Champs";44000;NANTES;02.40.55.80.00;Mlle;H‚lŠne;DE MASSOL;
13;Ole Groupe;"46, rue des H‚rons cendr‚s";33120;ARCACHON;05.56.66.91.24;M.;Denis;DEPERNET;
14;Linde ;"72, rue des MaraŒchers";66700;ARGELES SUR MER;04.68.52.64.97;M.;St‚phane;DERLON;
15;Rochester SARL;"53, boulevard de l'A‚roport";75016;PARIS;01.43.55.76.10;Mlle;Ella;DESCHAMP;
16;"3LAB, SARL";"5, rue de l'Amiti‚";69003;LYON;04.78.68.77.99;M.;Honor‚;DEVANNE;
17;Pure Groupe;"25, rue Poulidor";17000;LA ROCHELLE;05.46.66.77.00;M.;Ferdinand;DINELLI;
18;Eminence SA;"15, avenue des Facult‚s";17000;LA ROCHELLE;05.46.55.11.33;Mme;Eug‚nie;ENET;
19;Qualitest ;"25, rue des Alouettes";17000;LA ROCHELLE;05.46.33.44.00;Mlle;Estelle;EPRINCHARD;
20;Pacific SARL;"12, boulevard de la Source";16000;ANGOULEME;05.45.78.99.65;Mme;Claire;FONTAINE;
21;Ohio ;"5, place des Fromagers";75016;PARIS;01.43.00.16.79;M.;Igor;GONTHIER;
22;Capweld ;"66, impasse des Mohicans";66700;ARGELES SUR MER;04.68.22.88.00;M.;Hugues;GRAVAUD;
